(NotSetected);0;0;0;0;0;0;0;0;0;0;0;0;0
ArMatrix B-Amplifier 4P (L);BLP Amp;4;0;0;0;0.064;84;0.904;8;137.50%;4.425;85.0;Crafted
ArMatrix B-Amplifier 6P (L);BLP Amp;6;0;0;0;0.096;126;1.356;12;133.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 8P (L);BLP Amp;8;0;0;0;0.128;168;1.808;16;131.25%;4.425;85.0;Crafted
ArMatrix B-Amplifier 10P (L);BLP Amp;10;0;0;0;0.160;210;2.260;20;145.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 13P (L);BLP Amp;13;0;0;0;0.208;273;2.938;26;142.31%;4.425;85.0;Crafted
ArMatrix B-Amplifier 17P (L);BLP Amp;17;0;0;0;0.272;357;3.842;34;132.35%;4.425;85.0;Crafted
ArMatrix B-Amplifier 20P (L);BLP Amp;20;0;0;0;0.320;420;4.520;40;138.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 23P (L);BLP Amp;23;0;0;0;0.368;483;5.198;46;197.39%;4.425;85.0;Crafted
ArMatrix B-Amplifier 25P (L);BLP Amp;25;0;0;0;0.400;525;5.650;50;128.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 28P (L);BLP Amp;28;0;0;0;0.448;588;6.328;56;130.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 33P (L);BLP Amp;33;0;0;0;0.528;693;7.458;66;136.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 37P (L);BLP Amp;37;0;0;0;0.592;777;8.362;74;139.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 42P (L);BLP Amp;42;0;0;0;0.672;882;9.492;84;136.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 45P (L);BLP Amp;45;0;0;0;0.720;945;10.170;90;135.00%;4.425;85.0;Crafted
ArMatrix B-Amplifier 50P (L);BLP Amp;50;0;0;0;0.787;1032;11.107;100;152.00%;4.502;85.0;Crafted
